School Name,Enrolment,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Percentage of Grade 3 Students Achieving the Provincial Standard in Reading,Percentage of Grade 3 Students Achieving the Provincial Standard in Writing,Percentage of Grade 3 Students Achieving the Provincial Standard in Mathematics,Percentage of Grade 6 Students Achieving the Provincial Standard in Reading,Percentage of Grade 6 Students Achieving the Provincial Standard in Writing,Percentage of Grade 6 Students Achieving the Provincial Standard in Mathematics,Percentage of School-Aged Children Who Live in Low-Income Households,"Percentage of Students Whose Parents Have No Degree, Diploma or Certificate",Year
67,0.09389671361502347,0.0,1.0,0.0,0.0,0.25,0.0,0.79,0.5,0.64,0.8157894736842105,0.3448275862068966,0.36,0.1388888888888889,0.0,2018-01-01
149,0.08920187793427228,0.05,1.0,0.0,0.125,0.25,0.0,0.62,0.31,0.38,0.3421052631578947,0.3333333333333333,0.25,0.41666666666666663,0.16666666666666666,2018-01-01
183,0.06572769953051644,0.05,1.0,0.0,0.0,0.4166666666666667,0.0,0.59,0.41000000000000003,0.45,0.7105263157894736,0.1724137931034483,0.22,0.3472222222222222,0.08333333333333333,2018-01-01
307,0.03286384976525822,0.05,1.0,0.0,0.0,0.3333333333333333,0.0,0.75,0.42,0.67,0.7368421052631579,0.6551724137931034,0.5,0.41666666666666663,0.4166666666666667,2018-01-01
308,0.18309859154929578,0.05,0.9500000000000001,0.0,0.0,0.3333333333333333,0.0,0.16,0.08,0.04,0.23684210526315785,0.36781609195402304,0.16,0.41666666666666663,0.25,2018-01-01
496,0.21126760563380279,0.0,1.0,0.11111111111111112,0.125,0.25,0.0,0.6,0.52,0.44,0.6052631578947368,0.5402298850574714,0.18,0.2777777777777778,0.16666666666666666,2018-01-01
501,0.107981220657277,0.0,1.0,0.0,0.0,0.16666666666666666,0.0,0.61,0.71,0.68,0.6973684210526315,0.36781609195402304,0.18,0.1388888888888889,0.08333333333333333,2018-01-01
549,0.03755868544600939,0.05,0.9500000000000001,0.0,0.0,0.08333333333333333,0.0,0.62,0.75,0.6900000000000001,0.8289473684210525,0.7701149425287357,0.67,0.41666666666666663,0.25,2018-01-01
690,0.1737089201877934,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.8200000000000001,0.64,0.55,0.7894736842105262,0.6896551724137931,0.46,0.1388888888888889,0.0,2018-01-01
703,0.1220657276995305,0.0,1.0,0.0,0.0,0.25,0.0,0.76,0.64,0.52,0.36842105263157887,0.5287356321839081,0.41000000000000003,0.20833333333333331,0.08333333333333333,2018-01-01
719,0.15492957746478872,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.71,0.71,0.5,0.5526315789473684,0.5632183908045978,0.22,0.3472222222222222,0.16666666666666666,2018-01-01
